,amount_favorite,amount_retweet,date,followers,following,retweet,screen_name,tweet,tweet_id,verified
42,0.0,0.0,2020-06-04 00:42:33,4736.0,45.0,0.0,MinteractApp,"Wednesday's Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $NEE $EXC $SO $FE $AEP $XEL $CNP $NRG $AEE $PEG $DUK $WEC $SRE $D $PPL $DTE $EIX $ETR $AES $NI #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlalc3 https://t.co/pJmTf6CYCb",1.268342341795971e+18,0.0
43,0.0,0.0,2020-06-03 11:18:16,1633.0,40.0,0.0,dakotafinancial,AES $AES Price Target Lowered to $17.00 at JPMorgan Chase &amp; Co. https://t.co/QyfI2DJwB3,1.2681399380060774e+18,0.0
44,0.0,0.0,2020-06-05 16:15:26,78.0,437.0,0.0,vtwinrider2,$AES needs to close above $14.99 today,1.2689394950444605e+18,0.0
45,0.0,0.0,2020-06-04 12:03:01,1754.0,43.0,0.0,VisualStockRSRC,$AES - AES Announces Early Results of Tender Offers For Certain Outstanding Notes https://t.co/EZEoQHeccV,1.268513587347284e+18,0.0
46,0.0,0.0,2020-06-06 05:44:36,255.0,0.0,0.0,mhedberg718,$AES  What happened???  why the bounce??  3.32 % change recently https://t.co/OjhZni5N5N,1.2691431301057372e+18,0.0
47,0.0,0.0,2020-06-04 09:51:02,225.0,1.0,0.0,sunshineavenue8,short ratio interest of $ORA is 9.05 at 2019-05-31 https://t.co/2aLL9r2cSL $CVA 6.88 $NRG 2.84 $AES 1.90,1.2684803733962547e+18,0.0
48,0.0,0.0,2020-06-04 19:40:54,2101.0,11.0,0.0,optioncharts,$AES Delta expiration 06/19/2020 #maxpain #options https://t.co/qEEcD9lgOV https://t.co/ydMFmCv4LM,1.2686288157456138e+18,0.0
49,0.0,0.0,2020-06-04 22:05:56,4736.0,45.0,0.0,MinteractApp,"Thursday's Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $CNP $FE $SO $AES $AEE $PNW $ETR $PCG $PEG $EXC $DUK $NEE $SRE $XEL $ED $EIX $WEC $DTE $D $NRG #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlalc3 https://t.co/qds1ic7vVo",1.2686653162148209e+18,0.0
,amount_favorite,amount_retweet,date,followers,following,retweet,screen_name,tweet,tweet_id,verified
0,0.0,0.0,2020-06-01 11:08:23,1510.0,6.0,0.0,marketcycles,Aes $AES Trading Report https://t.co/N9ykwM9HgC Click for Buy/Sell,1.267412673915949e+18,0.0
1,0.0,0.0,2020-06-01 21:12:20,4781.0,6.0,0.0,otcdynamics,$AES AES Distributed Energy Selected for Two O’ahu Solar + Storage Projects https://t.co/7tJPoMXxAz,1.267564661404242e+18,0.0
2,0.0,0.0,2020-05-30 19:49:54,255.0,0.0,0.0,mhedberg718,$AES considerable price movement -3.10 % change recently https://t.co/OjhZni5N5N,1.2668191428263813e+18,0.0
3,0.0,0.0,2020-06-01 17:43:02,2659.0,1.0,0.0,tradingbotnyse,"Stocks with greater movement, last 15 minutes

$AMRS +/- 3.69% Amyris Inc.
$BB +/- 1.33% BlackBerry Limited
$ZS +/- 0.72% Zscaler Inc.
$AGRO +/- 0.67% Adecoagro S.A.
$AES +/- 0.59% The AES Corporation
https://t.co/SrTZOF9tZX",1.2675119896450703e+18,0.0
4,0.0,0.0,2020-06-02 02:43:52,5339.0,184.0,0.0,newsfilterio,AES Announces Early Results and Extends Early Tender Date of Tender Offers and Consent Solicitations For Certain Outstanding Notes $AES https://t.co/Tz9ch72Nds,1.2676480969405686e+18,0.0
5,0.0,0.0,2020-06-01 18:08:56,4781.0,6.0,0.0,otcdynamics,$AES sPower Names Michael Belikoff as its Chief Operating Officer https://t.co/BapQBnUfVo,1.267518508579119e+18,0.0
6,0.0,0.0,2020-05-31 15:42:32,255.0,0.0,0.0,mhedberg718,"$AES Would say I'm surprised, but I'm not. Will check ER. Might dabble again. Maybe.  -3.10 % change recently https://t.co/OjhZni5N5N",1.2671192768564552e+18,0.0
7,0.0,0.0,2020-05-30 14:28:30,7182.0,769.0,0.0,Tickeron,$AES in Uptrend: Stochastic indicator is staying in overbought zone for 2 days. View odds for this and other indicators: https://t.co/QQw2ikd4c0 #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/cgpTn9ueJf,1.2667382587649475e+18,0.0
8,0.0,0.0,2020-06-01 03:13:54,255.0,0.0,0.0,mhedberg718,$AES might be worth taking a position when this bottoms  -3.10 % change recently https://t.co/OjhZni5N5N,1.2672932674706063e+18,0.0
9,1.0,0.0,2020-06-01 14:07:50,26749.0,3757.0,0.0,Briefingcom,$AES: AES extends early tender date with respect to its previously announced cash tender offers for up to... https://t.co/fMNIe0puEA,1.2674578320660234e+18,0.0
10,1.0,0.0,2020-05-30 23:00:01,3477.0,40.0,0.0,shortvolumes,Short sale volume(not short interest) for $LK on 2020-05-29 is 54%. https://t.co/scjJWVRDkH $BUD 62% $NTEC 54% $CAN 46% $AES 54%,1.266866987155755e+18,0.0
11,0.0,0.0,2020-05-29 12:03:08,1754.0,43.0,0.0,VisualStockRSRC,"$AES - AES Executive Vice President and Chief Financial Officer, Gustavo Pimenta, to Present at RBC Global https://t.co/Iq09k9aSig",1.2663392885281792e+18,0.0
12,0.0,0.0,2020-06-01 16:17:02,225.0,1.0,0.0,sunshineavenue8,$TAC short interest ratio on 2019-05-31 is 6.27 https://t.co/uEJ2Kb27WF $ENB 9.14 $CPL 0.70 $AES 1.90,1.2674903470782956e+18,0.0
13,1.0,0.0,2020-05-29 13:44:31,9423.0,74.0,0.0,SwingTradeBot,Fell Below 50 DMA today: $CLSD $FIXX $ORTX $AAL $PBCT $ARD $TPR $AES $HPE $DRQ $SFNC $FGEN $SR $GRIN ... https://t.co/j2lcQPb078,1.2663648030370284e+18,0.0
14,0.0,0.0,2020-06-01 18:13:12,4781.0,6.0,0.0,otcdynamics,$AES sPower Names Michael Belikoff as its Chief Operating Officer https://t.co/teHUtqK7Pz,1.2675195826061066e+18,0.0
